max score;500;1000;1500;2000
0.4;6858.28;6815.56;6809.56;6646.20
0.45;6787.92;6833.92;6814.56;6806.28
0.5;6648.92;6821.20;6784.28;6812.20
0.55;6650.56;6713.92;6788.92;6803.92
