max score;500;1000;1500;2000;;max score;600;700;800;900
0.4;6858.28;6815.56;6809.56;6646.20;;0.4125;6810.28;6799.84;6835.92;6830.92
0.45;6787.92;6833.92;6814.56;6806.28;;0.425;6804.92;6802.28;6816.20;6817.92
0.5;6648.92;6821.20;6784.28;6812.20;;0.4375;6762.28;6792.92;6822.28;6785.56
0.55;6650.56;6713.92;6788.92;6803.92;;;;;;
